,Date,Spacecraft
0,1998-02-10 03:00:00,ACE
1,1998-02-24 18:50:00,ACE
2,1998-03-06 07:00:00,ACE
3,1998-03-24 00:03:38,ACE
4,1998-04-13 12:00:00,ACE
5,1998-04-20 02:23:34,ACE
6,1998-04-29 14:28:00,ACE
7,1998-05-01 05:43:00,ACE
8,1998-05-02 09:22:00,ACE
9,1998-05-10 01:21:24,ACE
10,1998-05-17 00:57:00,ACE
11,1998-06-05 09:00:00,ACE
12,1998-06-16 23:56:00,ACE
13,1998-06-24 07:10:00,ACE
14,1998-06-30 15:43:00,ACE
15,1998-07-14 00:16:14,ACE
16,1998-07-21 00:38:52,ACE
17,1998-07-23 18:45:00,ACE
18,1998-08-05 04:15:00,ACE
19,1998-08-07 03:44:00,ACE
20,1998-08-09 07:30:00,ACE
21,1998-08-18 01:15:00,ACE
22,1998-08-22 14:32:00,ACE
23,1998-09-01 21:20:55,ACE
24,1998-09-06 05:31:35,ACE
25,1998-09-30 13:15:00,ACE
26,1998-10-01 23:55:31,ACE
27,1998-10-05 00:00:00,ACE
28,1998-10-08 02:31:46,ACE
29,1998-10-21 12:00:00,ACE
30,1998-10-30 03:30:00,ACE
31,1998-11-04 10:00:00,ACE
32,1998-11-07 16:36:46,ACE
33,1998-11-09 07:21:34,ACE
34,1998-11-23 02:31:25,ACE
35,1998-11-30 19:15:00,ACE
36,1998-12-03 14:52:59,ACE
37,1998-12-13 08:30:00,ACE
38,1998-12-28 08:30:00,ACE
39,1998-12-29 17:34:00,ACE
40,1999-01-15 03:00:00,ACE
41,1999-01-28 05:45:00,ACE
42,1999-02-11 21:45:00,ACE
43,1999-02-12 16:07:38,ACE
44,1999-02-17 20:20:00,ACE
45,1999-02-19 08:09:06,ACE
46,1999-03-06 18:30:00,ACE
47,1999-03-12 10:45:00,ACE
48,1999-03-29 20:26:23,ACE
49,1999-04-02 10:48:13,ACE
50,1999-05-04 01:35:39,ACE
51,1999-05-15 22:30:00,ACE
52,1999-05-18 10:00:00,ACE
53,1999-05-19 02:19:35,ACE
54,1999-06-06 08:50:00,ACE
55,1999-06-23 04:50:00,ACE
56,1999-06-26 12:18:00,ACE
57,1999-06-27 03:25:21,ACE
58,1999-07-01 01:30:00,ACE
59,1999-07-06 07:30:00,ACE
60,1999-07-07 00:20:00,ACE
61,1999-07-07 14:00:00,ACE
62,1999-07-08 22:00:00,ACE
63,1999-07-16 12:15:00,ACE
64,1999-07-29 16:33:18,ACE
65,1999-07-31 14:21:02,ACE
66,1999-08-06 21:15:00,ACE
67,1999-08-14 12:50:00,ACE
68,1999-08-16 06:45:00,ACE
69,1999-08-21 17:24:44,ACE
70,1999-09-09 15:00:00,ACE
71,1999-09-13 00:20:00,ACE
72,1999-09-15 14:15:00,ACE
73,1999-09-17 05:45:00,ACE
74,1999-09-22 18:45:00,ACE
75,1999-09-25 00:45:27,ACE
76,1999-10-03 06:27:18,ACE
77,1999-10-15 19:20:00,ACE
78,1999-10-24 16:37:39,ACE
79,1999-10-31 08:30:00,ACE
80,1999-11-02 14:00:00,ACE
81,1999-11-10 10:31:12,ACE
82,1999-12-10 12:10:00,ACE
83,1999-12-12 08:00:00,ACE
84,1999-12-21 14:10:00,ACE
85,2000-01-02 13:30:00,ACE
86,2000-01-11 07:51:07,ACE
87,2000-01-14 01:40:00,ACE
88,2000-01-20 08:20:00,ACE
89,2000-01-26 04:23:00,ACE
90,2000-01-28 00:00:00,ACE
91,2000-01-28 17:55:53,ACE
92,2000-02-04 05:45:12,ACE
93,2000-02-08 16:50:00,ACE
94,2000-02-11 09:13:00,ACE
95,2000-02-13 12:18:00,ACE
96,2000-02-15 04:56:00,ACE
97,2000-02-22 02:45:00,ACE
98,2000-02-22 20:43:00,ACE
99,2000-03-05 21:08:00,ACE
100,2000-04-04 22:57:00,ACE
101,2000-04-06 07:55:00,ACE
102,2000-04-07 02:04:00,ACE
103,2000-04-15 14:25:36,ACE
104,2000-04-22 18:40:00,ACE
105,2000-04-28 15:52:00,ACE
106,2000-05-03 11:45:00,ACE
107,2000-05-10 11:01:00,ACE
108,2000-05-22 06:39:00,ACE
109,2000-06-01 04:20:00,ACE
110,2000-06-03 22:03:00,ACE
111,2000-06-05 04:23:00,ACE
112,2000-06-06 20:00:00,ACE
113,2000-06-09 18:41:00,ACE
114,2000-06-11 23:17:28,ACE
115,2000-06-22 07:31:00,ACE
116,2000-06-30 23:27:00,ACE
117,2000-07-10 10:57:00,ACE
118,2000-07-11 23:23:00,ACE
119,2000-07-13 22:18:00,ACE
120,2000-07-15 03:00:00,ACE
121,2000-07-17 01:15:00,ACE
122,2000-07-19 08:40:20,ACE
123,2000-07-22 12:48:00,ACE
124,2000-07-26 10:22:00,ACE
125,2000-07-27 02:55:00,ACE
126,2000-07-29 12:10:00,ACE
127,2000-08-02 11:16:00,ACE
128,2000-08-07 02:45:05,ACE
129,2000-08-10 09:07:00,ACE
130,2000-08-13 11:10:00,ACE
131,2000-08-16 15:36:00,ACE
132,2000-09-02 18:12:29,ACE
133,2000-09-05 07:43:41,ACE
134,2000-09-12 02:13:00,ACE
135,2000-09-15 23:59:00,ACE
136,2000-09-24 03:57:00,ACE
137,2000-09-28 18:04:26,ACE
138,2000-10-01 08:24:00,ACE
139,2000-10-04 03:08:00,ACE
140,2000-10-04 18:36:00,ACE
141,2000-10-06 20:41:00,ACE
142,2000-10-15 03:45:00,ACE
143,2000-10-29 09:08:00,ACE
144,2000-11-01 05:30:00,ACE
145,2000-11-02 13:05:00,ACE
146,2000-11-03 16:47:00,ACE
147,2000-11-04 19:34:00,ACE
148,2000-11-07 02:15:00,ACE
149,2000-11-08 21:20:00,ACE
150,2000-11-12 12:01:00,ACE
151,2000-11-21 03:43:00,ACE
152,2000-11-26 22:24:00,ACE
153,2000-11-27 21:32:18,ACE
154,2000-11-28 09:57:00,ACE
155,2000-12-02 04:23:00,ACE
156,2000-12-08 10:21:00,ACE
157,2000-12-22 17:37:00,ACE
158,2001-01-06 13:00:00,ACE
159,2001-01-10 02:42:00,ACE
160,2001-01-12 05:20:00,ACE
161,2001-01-15 12:40:00,ACE
162,2001-01-22 20:31:00,ACE
163,2001-01-25 00:06:00,ACE
164,2001-02-02 03:22:00,ACE
165,2001-02-17 13:45:00,ACE
166,2001-02-23 17:54:00,ACE
167,2001-03-04 18:40:00,ACE
168,2001-03-13 03:35:00,ACE
169,2001-03-21 18:23:00,ACE
170,2001-03-25 15:42:00,ACE
171,2001-03-27 10:10:00,ACE
