,Date,Spacecraft,Type_stereo,Source_stereo,Type_ipshock,Accept
0,2007-01-14 19:35:08,STA,F,ICME,,0
1,2007-01-14 20:01:27,STB,F,ICME,,0
2,2007-02-12 08:10:06,STA,F,"data gap, probably a SIR",,0
3,2007-02-12 08:39:13,STA,F,"data gap, probably a SIR",,0
4,2007-04-09 02:01:21,STB,,,FF,0
5,2007-04-21 18:59:15,STA,F,SIR,FF,1
6,2007-04-22 06:09:27,STB,F,SIR,,0
7,2007-04-23 06:53:44,STA,R,SIR,FR,1
8,2007-04-23 13:21:10,STB,developing R_ with waves,SIR,,0
9,2007-04-27 23:31:20,STA,,,FR,0
10,2007-04-28 13:05:00,STB,,,FR,0
11,2007-05-07 08:11:54,STA,F,SIR,FF,1
12,2007-05-07 09:42:49,STB,F_ downstream waves_ clear plasma signatures_ 1 minute away from a current sheet,SIR,FF,1
13,2007-05-08 14:12:00,STB,,,FR,0
14,2007-05-17 21:23:19,STB,F,SIR,,0
15,2007-05-18 16:28:58,STB,,,FR,0
16,2007-05-22 01:59:45,STA,,,FF,0
17,2007-05-22 17:29:52,STB,F,middle ICME,FF,1
18,2007-06-09 13:15:50,STA,F,small SIR-like structure,,0
19,2007-06-10 12:55:35,STA,R,small SIR-like structure,FR,1
20,2007-07-04 22:09:40,STA,R_ not very sharp B change,SIR,,0
21,2007-07-10 16:45:25,STB,,,FF,0
22,2007-07-11 07:44:44,STB,R,SIR,FR,1
23,2007-07-11 20:22:25,STA,R,SIR,FR,1
24,2007-07-13 22:00:30,STB,F,SIR,FF,1
25,2007-07-20 01:22:15,STB,F,SIR,FF,1
26,2007-08-06 22:08:15,STB,,,FR,0
27,2007-08-10 16:39:10,STB,R,fast wind (~570 km/s) overtaking a SIR-like structure,FR,1
28,2007-08-14 16:31:04,STB,F,SIR,,0
29,2007-08-20 06:58:34,STA,,,FR,0
30,2007-08-24 14:16:33,STB,F,SIR,FF,1
31,2007-08-25 20:30:01,STA,F,ICME+SIR,FF,1
32,2007-09-02 00:09:16,STB,R,SIR,FR,1
33,2007-09-13 18:34:19,STB,F,"like a SIR including ICME, but the flux rope is not nice and the Vp is flat and slow",,0
34,2007-09-15 01:54:34,STA,F,SIR,,0
35,2007-09-15 15:35:03,STA,R,SIR,FR,1
36,2007-09-19 18:15:03,STB,F,SIR,FF,1
37,2007-09-23 11:31:58,STA,R,SIR,FR,1
38,2007-09-28 05:53:27,STB,R,SIR,FR,1
39,2007-09-29 07:54:21,STB,,,FR,0
40,2007-09-30 11:09:06,STA,R,SIR,FR,1
41,2007-10-18 16:46:12,STA,F,SIR,,0
42,2007-10-25 11:06:09,STB,,,FR,0
43,2007-11-09 00:10:08,STB,F,SIR-like structure with concave Pt profile,FF,1
44,2007-11-19 13:49:36,STB,F,SIR including an ICME,FF,1
45,2007-12-08 23:02:02,STB,F,SIR,,0
46,2007-12-16 00:16:33,STB,weak F,SIR,,0
47,2007-12-19 06:18:20,STB,,,FR,0
48,2008-01-08 01:48:30,STA,R,SIR,,0
49,2008-02-07 14:35:23,STB,,,FF,0
50,2008-02-09 18:42:07,STB,R,SIR,FR,1
51,2008-02-29 22:51:02,STA,F,SIR,,0
52,2008-03-07 00:14:24,STB,,,FR,0
